Player,Team,Pos,L3,L5,L10,All,1,2,3,4,5
Dwight Powell,DAL,C,25,22.8,23.9,20,27,27,21,14,25
Ty Jerome,GSW,G,25,22,20.7,18.4,21,24,30,17,18
Tim Hardaway,DAL,G,25,22,30.9,30,24,26,,,16
Bogdan Bogdanovic,ATL,G,24.7,26.4,26.5,29.6,28,22,24,31,27
Corey Kispert,WAS,G,24.7,22.8,24.9,27,24,18,32,18,22
Justin Holiday,DAL,F,24.5,24.5,24.5,24.5,28,21,,,
Isaiah Livers,DET,F,24.3,28,23.2,21.3,29,22,22,27,40
Drew Eubanks,POR,C,24.3,25,23.6,19.7,22,24,27,24,28
Jarred Vanderbilt,LAL,F,24.3,22.4,22.4,22.4,27,18,28,22,17
Isaiah Stewart,DET,C,24,27.8,28.3,28.2,19,27,26,38,29
John Collins,ATL,F,24,26.3,27.8,31,26,,22,,31
Monte Morris,WAS,G,24,26.3,26.8,28.1,,27,21,28,29
Jae'Sean Tate,HOU,F,24,24,22.6,21.5,25,28,19,24,24
Kevin Love,MIA,F,24,24,24,24,26,22,,,
Patrick Beverley,CHI,G,24,24,24,24,26,22,,,
Onyeka Okongwu,ATL,C,24,22,21.4,24,28,25,19,19,19
De'Anthony Melton,PHI,G,24,21.4,23.7,28.1,25,13,34,21,14
Josh Green,DAL,F,23.7,29.8,32.1,24.6,16,26,29,38,40
Alperen Sengun,HOU,C,23.7,27,28.7,28.1,25,24,22,33,31
Nassir Little,POR,F,23.7,24.8,20.3,17.3,20,34,17,28,25
Eric Gordon,LAC,G,23.7,23.3,23.3,23.3,25,20,26,22,
Jalen Duren,DET,C,23.5,27.5,28.2,25.1,,23,24,21,42
Jeff Green,DEN,F,23.5,23.3,20,19.5,,25,22,26,20
Trey Murphy,NOP,F,23.3,27,29.6,29.2,27,23,20,31,34
Tari Eason,HOU,F,23.3,22,20.5,19.6,28,23,19,21,19
Mason Plumlee,LAC,C,23.3,21.8,21.8,21.8,27,25,18,17,
Xavier Tillman,MEM,F,23,23.6,25.2,15.4,25,32,12,24,25
Anthony Lamb,GSW,F,23,23.5,23.5,19.7,25,20,24,25,
Luke Kennard,MEM,G,23,22.7,22.7,22.7,25,,21,22,
Royce O'Neale,BKN,F,23,21.6,25.5,33,20,24,25,22,17
Kevin Huerter,SAC,G,22.7,28.4,27.5,30.1,20,22,26,35,39
Joe Ingles,MIL,F,22.7,24.8,23.6,22.4,29,18,21,31,25
Austin Reaves,LAL,G,22.7,23.8,21.6,27.7,27,19,22,25,26
Andrew Nembhard,IND,G,22.7,22.2,26.1,26.9,24,23,21,23,20
Alex Caruso,CHI,G,22.5,25,25.3,24.2,26,19,,30,
Kelly Oubre,CHA,F,22.5,22.5,22.5,32.1,22,23,,,
James Wiseman,DET,C,22.3,22.3,22.3,22.3,20,24,23,,
Quentin Grimes,NYK,G,22.3,22.2,28.4,29.8,22,21,24,22,22
Jaylin Williams,OKC,C,22.3,21.8,21.6,16.5,13,27,27,26,16
Clint Capela,ATL,C,22,24.8,24.6,26.6,19,21,26,29,29
Doug McDermott,SAS,F,22,22,21.1,20.5,18,25,23,,
Carlik Jones,CHI,G,22,22,22,11.5,,,22,,
Taurean Prince,MIN,F,22,20.7,22,21.2,,,22,22,18
Naz Reid,MIN,C,22,19,20,18,36,18,12,12,17
Isaiah Hartenstein,NYK,C,21.7,22.8,23.9,19.8,19,20,26,24,25
Terrence Ross,PHX,F,21.7,21.7,21.7,21.7,17,23,25,,
Trey Lyles,SAC,F,21.7,21.6,18.2,16.2,25,19,21,18,25
Bobby Portis,MIL,F,21.5,21.5,21.5,26.5,21,22,,,
Cedi Osman,CLE,F,21.5,18,19.1,21,,16,27,,11
Aaron Wiggins,OKC,G,21.5,16.3,19.2,18.6,24,19,,10,12
Isaac Okoro,CLE,F,21.3,24,25.8,21.3,21,23,20,19,37
Caris LeVert,CLE,G,21.3,22.4,25,30,23,9,32,28,20
Brandon Clarke,MEM,F,21.3,21.2,20.2,19.8,18,15,31,23,19
Christian Wood,DAL,C,21.3,21,19.1,27.4,20,22,22,23,18
Shaedon Sharpe,POR,G,21,23.6,22,20.2,13,22,28,26,29
Khris Middleton,MIL,G,21,22.3,21.8,21.4,25,17,,25,
Sandro Mamukelashvili,MIL,F,21,15.5,12,9,,,21,,10
AJ Green,MIL,G,21,14.7,14.7,9.7,,19,23,,2
Vlatko Cancar,DEN,F,20.7,23,22.4,16.3,17,19,26,25,28
Daniel Gafford,WAS,C,20.7,21,24.4,18.9,31,12,19,15,28
Victor Oladipo,MIA,G,20.5,20.5,22.7,27.9,21,20,,,
Jae Crowder,MIL,F,20.5,20.5,20.5,20.5,25,16,,,
Chris Boucher,TOR,F,20.3,20.6,22.5,20.7,18,20,23,24,18
Kris Dunn,UTA,G,20,20,20,20,23,17,,,
Ben Simmons,BKN,F,20,16.3,19,26.2,,,20,13,16
Wesley Matthews,MIL,G,20,16.3,19.1,15.5,,,20,10,19
Santi Aldama,MEM,F,19.7,21.4,22.3,22,23,15,21,28,20
Precious Achiuwa,TOR,C,19.3,25,26.9,23.3,16,22,20,34,33
Nick Richards,CHA,C,19,20.2,19,17.3,19,20,18,17,27
Jordan Goodwin,WAS,G,19,19,12.4,18.1,19,,,,
Trendon Watford,POR,F,19,18.2,21.5,16.5,24,19,14,18,16
Jeff Dowtin,TOR,G,19,16.8,16.8,8.9,18,20,19,10,
Blake Wesley,SAS,G,19,16.6,16.5,13.9,20,21,16,20,6
Frank Ntilikina,DAL,G,19,15.2,10.8,12.2,12,21,24,13,6
Alec Burks,DET,G,18.7,19.8,21.5,21.9,17,19,20,28,15
Troy Brown,LAL,F,18.7,19.6,24.2,24,20,18,18,20,22
Reggie Jackson,DEN,G,18.7,18.7,18.7,18.7,19,19,18,,
D'Angelo Russell,LAL,G,18.5,25,25,25,,9,28,28,35
Ryan Arcidiacono,POR,G,18.5,14.7,14.7,14.7,,34,3,7,
Grant Williams,BOS,F,18.3,25.8,26,27.5,29,6,20,48,26
Jose Alvarado,NOP,G,18.3,21,18.7,21.6,16,15,24,29,21
Hamidou Diallo,DET,G,18.3,19,18,16.9,19,20,16,22,18
Josh Christopher,HOU,G,18.3,16.2,17,10.4,15,18,22,16,10
T.J. McConnell,IND,G,18,18.2,18.8,19.5,19,14,21,16,21
Bol Bol,ORL,F,18,17.2,16.5,23.1,22,16,16,13,19
Naji Marshall,NOP,F,17.7,20,22,24.6,15,19,19,23,24
Moritz Wagner,ORL,C,17.7,18.4,18.3,20.9,21,16,16,18,21
Cole Anthony,ORL,G,17.5,18.3,20.6,24.6,17,18,,,20
Rui Hachimura,LAL,F,17.3,21,25,24.9,11,25,16,22,31
Chris Duarte,IND,G,17,17.3,17.7,19.1,15,16,20,,18
Davion Mitchell,SAC,G,17,14.6,16.5,17.8,14,14,23,10,12
Simone Fontecchio,UTA,F,17,13.6,16.3,9.9,13,14,24,13,4
Tyus Jones,MEM,G,16.7,17,20.5,23,20,16,14,14,21
Nickeil Alexander-Walker,MIN,G,16.7,13,13,13,21,24,5,,2
Juan Toscano-Anderson,UTA,F,16.3,16.3,16.3,16.3,9,15,25,,
